State,Median Income (2019),Average retail price (cents/kWh),Population (2021),Dominant Industry,Percent
 Alabama,51734,9.84,5039877,NATURAL GAS,37.6
 Alaska,75463,19.82,732673,NATURAL GAS,41
 Arizona,62055,10.44,7276316,NATURAL GAS,44.4
 Arkansas,48952,8.32,3025891,COAL,35.6
 California,80440,18,39237836,NATURAL GAS,49
 Colorado,77127,10.27,5812069,COAL,41.6
 Connecticut,78833,19.13,3605597,NATURAL GAS,55.6
 Delaware,70176,10.24,1003384,NATURAL GAS,85.8
 Florida,59227,10.06,21781128,NATURAL GAS,73.9
 Georgia,61980,9.93,10799566,NATURAL GAS,46.3
 Hawaii,83102,27.55,1441553,PETROLEUM,65.4
 Idaho,60999,7.99,1900923,HYDRO,51
 Illinois,69187,9.75,12671469,NUCLEAR,53.3
 Indiana,57603,9.92,6805985,COAL,57.7
 Iowa,61691,8.97,3193079,WIND,55.3
 Kansas,62087,10.38,2934582,WIND,45.2
 Kentucky,52295,8.58,4509394,COAL,70.7
 Louisiana,51073,7.51,4624047,NATURAL GAS,64.8
 Maine,58924,13.54,1372247,HYDRO,27.1
 Maryland,86738,11.15,6165129,NUCLEAR,37.7
 Massachusetts,85843,18.19,6984723,NATURAL GAS,76.9
 Michigan,59584,12.21,10050811,COAL,31.9
 Minnesota,74593,10.57,5707390,COAL,26.5
 Mississippi,45792,9.13,2949965,NATURAL GAS,72.1
 Missouri,57409,9.64,6168187,COAL,74.4
 Montana,57153,9.13,1104271,COAL,43.2
 Nebraska,63229,8.97,1963692,COAL,49.2
 Nevada,63276,8.33,3143991,NATURAL GAS,62.5
 New Hampshire,77933,16.63,1388992,NUCLEAR,56.5
 New Jersey,85751,13.63,9267130,NATURAL GAS,47.8
 New Mexico,51945,9.33,2115877,COAL,35.5
 New York,72108,14.87,19835913,NATURAL GAS,45.6
 North Carolina,57341,9.43,10551162,NATURAL GAS,35.9
 North Dakota,64577,8.53,774948,COAL,57.1
 Ohio,58642,9.44,11780017,NATURAL GAS,43.9
 Oklahoma,54449,7.63,3986639,WIND,41.4
 Oregon,67058,8.82,4246155,HYDRO,46.4
 Pennsylvania,63463,9.7,12964056,NATURAL GAS,52.7
 Rhode Island,71169,18.54,1095610,NATURAL GAS,90.9
 South Carolina,56227,9.9,5190705,NUCLEAR,53.8
 South Dakota,59533,10.06,895376,WIND,52.3
 Tennessee,56071,9.52,6975218,NUCLEAR,43.4
 Texas,64034,8.36,29527941,NATURAL GAS,48.6
 Utah,75780,8.27,3322389,COAL,61.8
 Vermont,63001,16.33,645570,HYDRO,50
 Virginia,76456,9.16,8642274,NATURAL GAS,57.4
 Washington,78687,8.33,7738692,HYDRO,64.6
 West Virginia,48850,8.75,1782959,COAL,90.8
 Wisconsin,64168,10.82,5895908,COAL,41.9
 Wyoming,65003,8.27,578803,COAL,73.3
