STATE,Sector,Percentage
Alabama,NUCLEAR,32.2
Alaska,NUCLEAR,0.0
Arizona,NUCLEAR,29.1
Arkansas,NUCLEAR,22.5
California,NUCLEAR,8.4
Colorado,NUCLEAR,0.0
Connecticut,NUCLEAR,39.0
Delaware,NUCLEAR,0.0
District of Columbia,NUCLEAR,0.0
Florida,NUCLEAR,11.5
Georgia,NUCLEAR,26.8
Hawaii,NUCLEAR,0.0
Idaho,NUCLEAR,0.0
Illinois,NUCLEAR,53.3
Indiana,NUCLEAR,0.0
Iowa,NUCLEAR,0.0
Kansas,NUCLEAR,15.1
Kentucky,NUCLEAR,0.0
Louisiana,NUCLEAR,17.6
Maine,NUCLEAR,0.0
Maryland,NUCLEAR,37.7
Massachusetts,NUCLEAR,0.0
Michigan,NUCLEAR,29.6
Minnesota,NUCLEAR,23.7
Mississippi,NUCLEAR,17.1
Missouri,NUCLEAR,5.5
Montana,NUCLEAR,0.0
Nebraska,NUCLEAR,17.8
Nevada,NUCLEAR,0.0
New Hampshire,NUCLEAR,56.5
New Jersey,NUCLEAR,45.8
New Mexico,NUCLEAR,0.0
New York,NUCLEAR,24.9
North Carolina,NUCLEAR,32.8
North Dakota,NUCLEAR,0.0
Ohio,NUCLEAR,14.2
Oklahoma,NUCLEAR,0.0
Oregon,NUCLEAR,0.0
Pennsylvania,NUCLEAR,31.4
Rhode Island,NUCLEAR,0.0
South Carolina,NUCLEAR,53.8
South Dakota,NUCLEAR,0.0
Tennessee,NUCLEAR,43.4
Texas,NUCLEAR,8.3
Utah,NUCLEAR,0.0
Vermont,NUCLEAR,0.0
Virginia,NUCLEAR,30.3
Washington,NUCLEAR,7.8
West Virginia,NUCLEAR,0.0
Wisconsin,NUCLEAR,15.2
Wyoming,NUCLEAR,0.0
Alabama,COAL,18.8
Alaska,COAL,13.7
Arizona,COAL,13.2
Arkansas,COAL,35.6
California,COAL,0.1
Colorado,COAL,41.6
Connecticut,COAL,0.6
Delaware,COAL,6.8
District of Columbia,COAL,0.0
Florida,COAL,7.5
Georgia,COAL,15.1
Hawaii,COAL,11.8
Idaho,COAL,0.1
Illinois,COAL,23.9
Indiana,COAL,57.7
Iowa,COAL,33.5
Kansas,COAL,34.2
Kentucky,COAL,70.7
Louisiana,COAL,8.0
Maine,COAL,0.6
Maryland,COAL,14.7
Massachusetts,COAL,0.0
Michigan,COAL,31.9
Minnesota,COAL,26.5
Mississippi,COAL,8.0
Missouri,COAL,74.4
Montana,COAL,43.2
Nebraska,COAL,49.2
Nevada,COAL,6.6
New Hampshire,COAL,1.6
New Jersey,COAL,1.7
New Mexico,COAL,35.5
New York,COAL,0.0
North Carolina,COAL,15.5
North Dakota,COAL,57.1
Ohio,COAL,37.1
Oklahoma,COAL,14.0
Oregon,COAL,0.0
Pennsylvania,COAL,12.1
Rhode Island,COAL,0.0
South Carolina,COAL,15.2
South Dakota,COAL,9.2
Tennessee,COAL,22.4
Texas,COAL,18.4
Utah,COAL,61.8
Vermont,COAL,0.0
Virginia,COAL,3.3
Washington,COAL,2.9
West Virginia,COAL,90.8
Wisconsin,COAL,41.9
Wyoming,COAL,73.3
Alabama,NATURAL GAS,37.6
Alaska,NATURAL GAS,41.0
Arizona,NATURAL GAS,44.4
Arkansas,NATURAL GAS,32.1
California,NATURAL GAS,49.0
Colorado,NATURAL GAS,25.5
Connecticut,NATURAL GAS,55.6
Delaware,NATURAL GAS,85.8
District of Columbia,NATURAL GAS,62.5
Florida,NATURAL GAS,73.9
Georgia,NATURAL GAS,46.3
Hawaii,NATURAL GAS,0.0
Idaho,NATURAL GAS,26.0
Illinois,NATURAL GAS,11.6
Indiana,NATURAL GAS,29.5
Iowa,NATURAL GAS,9.0
Kansas,NATURAL GAS,5.1
Kentucky,NATURAL GAS,21.0
Louisiana,NATURAL GAS,64.8
Maine,NATURAL GAS,24.7
Maryland,NATURAL GAS,37.1
Massachusetts,NATURAL GAS,76.9
Michigan,NATURAL GAS,26.6
Minnesota,NATURAL GAS,20.6
Mississippi,NATURAL GAS,72.1
Missouri,NATURAL GAS,8.7
Montana,NATURAL GAS,2.0
Nebraska,NATURAL GAS,4.1
Nevada,NATURAL GAS,62.5
New Hampshire,NATURAL GAS,25.6
New Jersey,NATURAL GAS,47.8
New Mexico,NATURAL GAS,28.4
New York,NATURAL GAS,45.6
North Carolina,NATURAL GAS,35.9
North Dakota,NATURAL GAS,3.4
Ohio,NATURAL GAS,43.9
Oklahoma,NATURAL GAS,40.8
Oregon,NATURAL GAS,33.3
Pennsylvania,NATURAL GAS,52.7
Rhode Island,NATURAL GAS,90.9
South Carolina,NATURAL GAS,23.3
South Dakota,NATURAL GAS,8.7
Tennessee,NATURAL GAS,17.8
Texas,NATURAL GAS,48.6
Utah,NATURAL GAS,24.7
Vermont,NATURAL GAS,0.1
Virginia,NATURAL GAS,57.4
Washington,NATURAL GAS,14.4
West Virginia,NATURAL GAS,4.1
Wisconsin,NATURAL GAS,33.9
Wyoming,NATURAL GAS,3.5
Alabama,PETROLEUM,0.0
Alaska,PETROLEUM,14.9
Arizona,PETROLEUM,0.0
Arkansas,PETROLEUM,0.1
California,PETROLEUM,0.0
Colorado,PETROLEUM,0.0
Connecticut,PETROLEUM,0.2
Delaware,PETROLEUM,0.5
District of Columbia,PETROLEUM,0.0
Florida,PETROLEUM,0.5
Georgia,PETROLEUM,0.2
Hawaii,PETROLEUM,65.4
Idaho,PETROLEUM,0.0
Illinois,PETROLEUM,0.0
Indiana,PETROLEUM,0.1
Iowa,PETROLEUM,0.1
Kansas,PETROLEUM,0.2
Kentucky,PETROLEUM,0.1
Louisiana,PETROLEUM,4.0
Maine,PETROLEUM,0.4
Maryland,PETROLEUM,0.2
Massachusetts,PETROLEUM,0.4
Michigan,PETROLEUM,1.0
Minnesota,PETROLEUM,0.1
Mississippi,PETROLEUM,0.0
Missouri,PETROLEUM,0.2
Montana,PETROLEUM,1.8
Nebraska,PETROLEUM,0.1
Nevada,PETROLEUM,0.0
New Hampshire,PETROLEUM,0.4
New Jersey,PETROLEUM,0.1
New Mexico,PETROLEUM,0.1
New York,PETROLEUM,0.7
North Carolina,PETROLEUM,0.1
North Dakota,PETROLEUM,0.1
Ohio,PETROLEUM,0.8
Oklahoma,PETROLEUM,0.0
Oregon,PETROLEUM,0.0
Pennsylvania,PETROLEUM,0.1
Rhode Island,PETROLEUM,0.1
South Carolina,PETROLEUM,0.1
South Dakota,PETROLEUM,0.1
Tennessee,PETROLEUM,0.1
Texas,PETROLEUM,0.0
Utah,PETROLEUM,0.1
Vermont,PETROLEUM,0.2
Virginia,PETROLEUM,0.3
Washington,PETROLEUM,0.0
West Virginia,PETROLEUM,0.3
Wisconsin,PETROLEUM,0.3
Wyoming,PETROLEUM,0.1
Alabama,HYDRO,8.8
Alaska,HYDRO,27.7
Arizona,HYDRO,5.4
Arkansas,HYDRO,7.3
California,HYDRO,7.2
Colorado,HYDRO,2.8
Connecticut,HYDRO,0.7
Delaware,HYDRO,0.0
District of Columbia,HYDRO,0.0
Florida,HYDRO,0.1
Georgia,HYDRO,3.2
Hawaii,HYDRO,1.2
Idaho,HYDRO,51.0
Illinois,HYDRO,0.1
Indiana,HYDRO,0.3
Iowa,HYDRO,1.4
Kansas,HYDRO,0.1
Kentucky,HYDRO,7.5
Louisiana,HYDRO,1.2
Maine,HYDRO,27.1
Maryland,HYDRO,5.3
Massachusetts,HYDRO,2.0
Michigan,HYDRO,0.7
Minnesota,HYDRO,1.5
Mississippi,HYDRO,0.0
Missouri,HYDRO,2.4
Montana,HYDRO,40.0
Nebraska,HYDRO,3.3
Nevada,HYDRO,4.7
New Hampshire,HYDRO,6.7
New Jersey,HYDRO,0.0
New Mexico,HYDRO,0.5
New York,HYDRO,22.0
North Carolina,HYDRO,5.8
North Dakota,HYDRO,5.2
Ohio,HYDRO,0.3
Oklahoma,HYDRO,3.3
Oregon,HYDRO,46.4
Pennsylvania,HYDRO,0.8
Rhode Island,HYDRO,0.1
South Carolina,HYDRO,3.0
South Dakota,HYDRO,29.7
Tennessee,HYDRO,15.1
Texas,HYDRO,0.2
Utah,HYDRO,1.8
Vermont,HYDRO,50.0
Virginia,HYDRO,0.8
Washington,HYDRO,64.6
West Virginia,HYDRO,2.3
Wisconsin,HYDRO,3.8
Wyoming,HYDRO,2.3
Alabama,GEOTHERMAL,0.0
Alaska,GEOTHERMAL,0.0
Arizona,GEOTHERMAL,0.0
Arkansas,GEOTHERMAL,0.0
California,GEOTHERMAL,5.8
Colorado,GEOTHERMAL,0.0
Connecticut,GEOTHERMAL,0.0
Delaware,GEOTHERMAL,0.0
District of Columbia,GEOTHERMAL,0.0
Florida,GEOTHERMAL,0.0
Georgia,GEOTHERMAL,0.0
Hawaii,GEOTHERMAL,1.8
Idaho,GEOTHERMAL,0.5
Illinois,GEOTHERMAL,0.0
Indiana,GEOTHERMAL,0.0
Iowa,GEOTHERMAL,0.0
Kansas,GEOTHERMAL,0.0
Kentucky,GEOTHERMAL,0.0
Louisiana,GEOTHERMAL,0.0
Maine,GEOTHERMAL,0.0
Maryland,GEOTHERMAL,0.0
Massachusetts,GEOTHERMAL,0.0
Michigan,GEOTHERMAL,0.0
Minnesota,GEOTHERMAL,0.0
Mississippi,GEOTHERMAL,0.0
Missouri,GEOTHERMAL,0.0
Montana,GEOTHERMAL,0.0
Nebraska,GEOTHERMAL,0.0
Nevada,GEOTHERMAL,9.4
New Hampshire,GEOTHERMAL,0.0
New Jersey,GEOTHERMAL,0.0
New Mexico,GEOTHERMAL,0.1
New York,GEOTHERMAL,0.0
North Carolina,GEOTHERMAL,0.0
North Dakota,GEOTHERMAL,0.0
Ohio,GEOTHERMAL,0.0
Oklahoma,GEOTHERMAL,0.0
Oregon,GEOTHERMAL,0.3
Pennsylvania,GEOTHERMAL,0.0
Rhode Island,GEOTHERMAL,0.0
South Carolina,GEOTHERMAL,0.0
South Dakota,GEOTHERMAL,0.0
Tennessee,GEOTHERMAL,0.0
Texas,GEOTHERMAL,0.0
Utah,GEOTHERMAL,0.8
Vermont,GEOTHERMAL,0.0
Virginia,GEOTHERMAL,0.0
Washington,GEOTHERMAL,0.0
West Virginia,GEOTHERMAL,0.0
Wisconsin,GEOTHERMAL,0.0
Wyoming,GEOTHERMAL,0.0
Alabama,SOLAR,0.3
Alaska,SOLAR,0.0
Arizona,SOLAR,6.2
Arkansas,SOLAR,0.8
California,SOLAR,17.4
Colorado,SOLAR,3.1
Connecticut,SOLAR,0.7
Delaware,SOLAR,1.5
District of Columbia,SOLAR,11.9
Florida,SOLAR,3.7
Georgia,SOLAR,3.8
Hawaii,SOLAR,5.7
Idaho,SOLAR,3.3
Illinois,SOLAR,0.3
Indiana,SOLAR,0.7
Iowa,SOLAR,0.3
Kansas,SOLAR,0.1
Kentucky,SOLAR,0.1
Louisiana,SOLAR,0.2
Maine,SOLAR,1.6
Maryland,SOLAR,1.7
Massachusetts,SOLAR,9.2
Michigan,SOLAR,0.4
Minnesota,SOLAR,3.2
Mississippi,SOLAR,0.6
Missouri,SOLAR,0.2
Montana,SOLAR,0.1
Nebraska,SOLAR,0.1
Nevada,SOLAR,15.9
New Hampshire,SOLAR,0.0
New Jersey,SOLAR,2.5
New Mexico,SOLAR,5.0
New York,SOLAR,1.0
North Carolina,SOLAR,7.6
North Dakota,SOLAR,0.0
Ohio,SOLAR,0.5
Oklahoma,SOLAR,0.1
Oregon,SOLAR,2.5
Pennsylvania,SOLAR,0.1
Rhode Island,SOLAR,4.2
South Carolina,SOLAR,2.3
South Dakota,SOLAR,0.0
Tennessee,SOLAR,0.4
Texas,SOLAR,2.9
Utah,SOLAR,8.1
Vermont,SOLAR,8.8
Virginia,SOLAR,3.6
Washington,SOLAR,0.0
West Virginia,SOLAR,0.0
Wisconsin,SOLAR,0.6
Wyoming,SOLAR,0.4
Alabama,WIND,0.0
Alaska,WIND,2.1
Arizona,WIND,1.5
Arkansas,WIND,0.0
California,WIND,7.9
Colorado,WIND,26.5
Connecticut,WIND,0.0
Delaware,WIND,0.1
District of Columbia,WIND,0.0
Florida,WIND,0.0
Georgia,WIND,0.0
Hawaii,WIND,7.3
Idaho,WIND,15.7
Illinois,WIND,10.3
Indiana,WIND,8.4
Iowa,WIND,55.3
Kansas,WIND,45.2
Kentucky,WIND,0.0
Louisiana,WIND,0.0
Maine,WIND,23.3
Maryland,WIND,1.3
Massachusetts,WIND,1.1
Michigan,WIND,6.7
Minnesota,WIND,21.7
Mississippi,WIND,0.0
Missouri,WIND,8.5
Montana,WIND,11.5
Nebraska,WIND,25.2
Nevada,WIND,0.8
New Hampshire,WIND,2.9
New Jersey,WIND,0.0
New Mexico,WIND,30.2
New York,WIND,3.5
North Carolina,WIND,0.4
North Dakota,WIND,34.1
