year,Sector,Generated (billion kWh)
1950,hydroelectric,100.88
1951,hydroelectric,104.38
1952,hydroelectric,109.71
1953,hydroelectric,109.62
1954,hydroelectric,111.64
1955,hydroelectric,116.24
1956,hydroelectric,125.24
1957,hydroelectric,133.36
1958,hydroelectric,143.61
1959,hydroelectric,141.15
1960,hydroelectric,149.44
1961,hydroelectric,155.54
1962,hydroelectric,172.02
1963,hydroelectric,168.99
1964,hydroelectric,180.3
1965,hydroelectric,196.98
1966,hydroelectric,197.94
1967,hydroelectric,224.95
1968,hydroelectric,225.87
1969,hydroelectric,253.47
1970,hydroelectric,250.96
1971,hydroelectric,269.53
1972,hydroelectric,275.93
1973,hydroelectric,275.43
1974,hydroelectric,304.21
1975,hydroelectric,303.15
1976,hydroelectric,286.92
1977,hydroelectric,223.6
1978,hydroelectric,283.47
1979,hydroelectric,283.08
1980,hydroelectric,279.18
1981,hydroelectric,263.84
1982,hydroelectric,312.37
1983,hydroelectric,335.29
1984,hydroelectric,324.31
1985,hydroelectric,284.31
1986,hydroelectric,294.01
1987,hydroelectric,252.86
1988,hydroelectric,226.1
1989,hydroelectric,271.98
1990,hydroelectric,292.87
1991,hydroelectric,288.99
1992,hydroelectric,253.09
1993,hydroelectric,280.49
1994,hydroelectric,260.13
1995,hydroelectric,310.83
1996,hydroelectric,347.16
1997,hydroelectric,356.45
1998,hydroelectric,323.34
1999,hydroelectric,319.54
2000,hydroelectric,275.57
2001,hydroelectric,216.96
2002,hydroelectric,264.33
2003,hydroelectric,275.81
2004,hydroelectric,268.42
2005,hydroelectric,270.32
2006,hydroelectric,289.25
2007,hydroelectric,247.51
2008,hydroelectric,254.83
2009,hydroelectric,273.45
2010,hydroelectric,260.2
2011,hydroelectric,319.35
2012,hydroelectric,276.24
2013,hydroelectric,268.57
2014,hydroelectric,259.37
2015,hydroelectric,249.08
2016,hydroelectric,267.81
2017,hydroelectric,300.33
2018,hydroelectric,292.52
2019,hydroelectric,287.87
2020,hydroelectric,285.27
2021,hydroelectric,260.23
1950,biomass,0.39
1951,biomass,0.39
1952,biomass,0.48
1953,biomass,0.39
1954,biomass,0.26
1955,biomass,0.28
1956,biomass,0.15
1957,biomass,0.18
1958,biomass,0.18
1959,biomass,0.15
1960,biomass,0.14
1961,biomass,0.13
1962,biomass,0.13
1963,biomass,0.13
1964,biomass,0.15
