Year,Primary energy consumption (TWh)
1965,14439.70117
1966,15247.36328
1967,15778.53906
1968,16719.38477
1969,17583.42383
1970,18205.83984
1971,18589.00781
1972,19514.08203
1973,20339.79492
1974,19842.60742
1975,19319.48242
1976,20376.50977
1977,20895.64648
1978,21359.29102
1979,21584.40039
1980,20751.95898
1981,20138.09375
1982,19318.14063
1983,19250.53125
1984,20235.68945
1985,20184.24414
1986,20371.9668
1987,21056.05273
1988,22014.88672
1989,22548.13281
1990,22606.61328
1991,22576.31055
1992,22909.34375
1993,23390.02344
1994,23820.38867
1995,24340.91602
1996,25161.39844
1997,25350.25391
1998,25512.49805
1999,25965.10547
2000,26545.42578
2001,25912.78125
2002,26297.84766
2003,26380.11133
2004,26897.54883
2005,26910.13281
2006,26698.11914
2007,27063.78711
2008,26405.51563
2009,25105.53125
2010,25951.86523
2011,25726.06445
2012,25047.86523
2013,25727.75
2014,25996.21875
2015,25747.0332
2016,25723.15234
2017,25819.03125
2018,26762.47266
2019,26571.66016
2020,24593.22266
2021,25825.46094
