STATE,NUCLEAR,SOLAR
Alabama,32.2,0.3
Alaska,0,0
Arizona,29.1,6.2
Arkansas,22.5,0.8
California,8.4,17.4
Colorado,0,3.1
Connecticut,39,0.7
Delaware,0,1.5
District of Columbia,0,11.9
Florida,11.5,3.7
Georgia,26.8,3.8
Hawaii,0,5.7
Idaho,0,3.3
Illinois,53.3,0.3
Indiana,0,0.7
Iowa,0,0.3
Kansas,15.1,0.1
Kentucky,0,0.1
Louisiana,17.6,0.2
Maine,0,1.6
Maryland,37.7,1.7
Massachusetts,0,9.2
Michigan,29.6,0.4
Minnesota,23.7,3.2
Mississippi,17.1,0.6
Missouri,5.5,0.2
Montana,0,0.1
Nebraska,17.8,0.1
Nevada,0,15.9
New Hampshire,56.5,0
New Jersey,45.8,2.5
New Mexico,0,5
New York,24.9,1
North Carolina,32.8,7.6
North Dakota,0,0
Ohio,14.2,0.5
Oklahoma,0,0.1
Oregon,0,2.5
Pennsylvania,31.4,0.1
Rhode Island,0,4.2
South Carolina,53.8,2.3
South Dakota,0,0
Tennessee,43.4,0.4
Texas,8.3,2.9
Utah,0,8.1
Vermont,0,8.8
Virginia,30.3,3.6
West Virginia,0,0
Wisconsin,15.2,0.6
Wyoming,0,0.4
